Obs,Ind,Comp,Pred,Time,N,chunks,frame.size
E,Analytical,CBR16,E,Midnight1,19,12,10min
E,Analytical,CBR16,VJR,Midnight1,5,12,10min
VJR,Analytical,CBR16,D,Midnight1,0,12,10min
VJR,Analytical,CBR16,E,Midnight1,7,12,10min
VJR,Analytical,CBR16,VJR,Midnight1,17,12,10min
D,Analytical,CBR16,D,Midnight2,24,12,10min
D,Analytical,CBR16,E,Midnight2,0,12,10min
D,Analytical,CBR16,VJR,Midnight2,0,12,10min
E,Analytical,CBR16,D,Midnight2,0,12,10min
E,Analytical,CBR16,E,Midnight2,17,12,10min
E,Analytical,CBR16,VJR,Midnight2,7,12,10min
VJR,Analytical,CBR16,D,Midnight2,0,12,10min
VJR,Analytical,CBR16,E,Midnight2,8,12,10min
VJR,Analytical,CBR16,VJR,Midnight2,16,12,10min
D,Analytical,CBR16,D,Midnight3,16,12,10min
D,Analytical,CBR16,E,Midnight3,6,12,10min
D,Analytical,CBR16,VJR,Midnight3,2,12,10min
E,Analytical,CBR16,D,Midnight3,0,12,10min
E,Analytical,CBR16,E,Midnight3,17,12,10min
E,Analytical,CBR16,VJR,Midnight3,7,12,10min
VJR,Analytical,CBR16,D,Midnight3,0,12,10min
VJR,Analytical,CBR16,E,Midnight3,4,12,10min
VJR,Analytical,CBR16,VJR,Midnight3,20,12,10min
D,Analytical,CBR16,D,Dawn,61,4,10min
D,Analytical,CBR16,E,Dawn,2,4,10min
D,Analytical,CBR16,VJR,Dawn,16,4,10min
E,Analytical,CBR16,D,Dawn,3,4,10min
E,Analytical,CBR16,E,Dawn,50,4,10min
E,Analytical,CBR16,VJR,Dawn,13,4,10min
VJR,Analytical,CBR16,D,Dawn,1,4,10min
VJR,Analytical,CBR16,E,Dawn,3,4,10min
VJR,Analytical,CBR16,VJR,Dawn,64,4,10min
D,Analytical,CBR16,D,Dusk,49,4,10min
D,Analytical,CBR16,E,Dusk,8,4,10min
D,Analytical,CBR16,VJR,Dusk,15,4,10min
E,Analytical,CBR16,D,Dusk,8,4,10min
E,Analytical,CBR16,E,Dusk,37,4,10min
E,Analytical,CBR16,VJR,Dusk,27,4,10min
VJR,Analytical,CBR16,D,Dusk,4,4,10min
VJR,Analytical,CBR16,E,Dusk,10,4,10min
VJR,Analytical,CBR16,VJR,Dusk,58,4,10min
D,Analytical,CBR16,D,Midday,66,4,10min
D,Analytical,CBR16,E,Midday,7,4,10min
D,Analytical,CBR16,VJR,Midday,3,4,10min
E,Analytical,CBR16,D,Midday,3,4,10min
E,Analytical,CBR16,E,Midday,59,4,10min
E,Analytical,CBR16,VJR,Midday,10,4,10min
VJR,Analytical,CBR16,D,Midday,1,4,10min
VJR,Analytical,CBR16,E,Midday,0,4,10min
VJR,Analytical,CBR16,VJR,Midday,65,4,10min
D,Analytical,CBR16,D,Midnight,60,4,10min
D,Analytical,CBR16,E,Midnight,9,4,10min
D,Analytical,CBR16,VJR,Midnight,3,4,10min
E,Analytical,CBR16,D,Midnight,0,4,10min
E,Analytical,CBR16,E,Midnight,65,4,10min
E,Analytical,CBR16,VJR,Midnight,7,4,10min
VJR,Analytical,CBR16,D,Midnight,6,4,10min
VJR,Analytical,CBR16,E,Midnight,12,4,10min
VJR,Analytical,CBR16,VJR,Midnight,54,4,10min
D,Analytical,CBR16,D,Dawn1,31,8,10min
D,Analytical,CBR16,E,Dawn1,2,8,10min
D,Analytical,CBR16,VJR,Dawn1,3,8,10min
E,Analytical,CBR16,D,Dawn1,4,8,10min
E,Analytical,CBR16,E,Dawn1,23,8,10min
E,Analytical,CBR16,VJR,Dawn1,9,8,10min
VJR,Analytical,CBR16,D,Dawn1,0,8,10min
VJR,Analytical,CBR16,E,Dawn1,11,8,10min
VJR,Analytical,CBR16,VJR,Dawn1,25,8,10min
D,Analytical,CBR16,D,Dawn2,31,8,10min
D,Analytical,CBR16,E,Dawn2,3,8,10min
D,Analytical,CBR16,VJR,Dawn2,9,8,10min
E,Analytical,CBR16,D,Dawn2,1,8,10min
E,Analytical,CBR16,E,Dawn2,27,8,10min
E,Analytical,CBR16,VJR,Dawn2,2,8,10min
VJR,Analytical,CBR16,D,Dawn2,4,8,10min
VJR,Analytical,CBR16,E,Dawn2,1,8,10min
VJR,Analytical,CBR16,VJR,Dawn2,27,8,10min
D,Analytical,CBR16,D,Dusk1,29,8,10min
D,Analytical,CBR16,E,Dusk1,5,8,10min
D,Analytical,CBR16,VJR,Dusk1,2,8,10min
E,Analytical,CBR16,D,Dusk1,7,8,10min
E,Analytical,CBR16,E,Dusk1,29,8,10min
E,Analytical,CBR16,VJR,Dusk1,0,8,10min
VJR,Analytical,CBR16,D,Dusk1,2,8,10min
VJR,Analytical,CBR16,E,Dusk1,4,8,10min
VJR,Analytical,CBR16,VJR,Dusk1,30,8,10min
D,Analytical,CBR16,D,Dusk2,17,8,10min
D,Analytical,CBR16,E,Dusk2,3,8,10min
D,Analytical,CBR16,VJR,Dusk2,16,8,10min
E,Analytical,CBR16,D,Dusk2,2,8,10min
E,Analytical,CBR16,E,Dusk2,14,8,10min
E,Analytical,CBR16,VJR,Dusk2,20,8,10min
VJR,Analytical,CBR16,D,Dusk2,3,8,10min
VJR,Analytical,CBR16,E,Dusk2,13,8,10min
VJR,Analytical,CBR16,VJR,Dusk2,20,8,10min
D,Analytical,CBR16,D,Midday1,35,8,10min
D,Analytical,CBR16,E,Midday1,3,8,10min
D,Analytical,CBR16,VJR,Midday1,2,8,10min
E,Analytical,CBR16,D,Midday1,1,8,10min
E,Analytical,CBR16,E,Midday1,29,8,10min
E,Analytical,CBR16,VJR,Midday1,6,8,10min
VJR,Analytical,CBR16,D,Midday1,1,8,10min
VJR,Analytical,CBR16,E,Midday1,3,8,10min
VJR,Analytical,CBR16,VJR,Midday1,26,8,10min
D,Analytical,CBR16,D,Midday2,32,8,10min
D,Analytical,CBR16,E,Midday2,4,8,10min
D,Analytical,CBR16,VJR,Midday2,0,8,10min
E,Analytical,CBR16,D,Midday2,2,8,10min
E,Analytical,CBR16,E,Midday2,34,8,10min
E,Analytical,CBR16,VJR,Midday2,0,8,10min
VJR,Analytical,CBR16,D,Midday2,0,8,10min
VJR,Analytical,CBR16,E,Midday2,1,8,10min
VJR,Analytical,CBR16,VJR,Midday2,35,8,10min
D,Analytical,CBR16,D,Midnight1,36,8,10min
D,Analytical,CBR16,E,Midnight1,0,8,10min
D,Analytical,CBR16,VJR,Midnight1,0,8,10min
E,Analytical,CBR16,D,Midnight1,0,8,10min
E,Analytical,CBR16,E,Midnight1,36,8,10min
E,Analytical,CBR16,VJR,Midnight1,0,8,10min
VJR,Analytical,CBR16,D,Midnight1,2,8,10min
VJR,Analytical,CBR16,E,Midnight1,12,8,10min
VJR,Analytical,CBR16,VJR,Midnight1,22,8,10min
D,Analytical,CBR16,D,Midnight2,28,8,10min
D,Analytical,CBR16,E,Midnight2,6,8,10min
D,Analytical,CBR16,VJR,Midnight2,2,8,10min
E,Analytical,CBR16,D,Midnight2,0,8,10min
E,Analytical,CBR16,E,Midnight2,32,8,10min
E,Analytical,CBR16,VJR,Midnight2,4,8,10min
VJR,Analytical,CBR16,D,Midnight2,2,8,10min
VJR,Analytical,CBR16,E,Midnight2,4,8,10min
VJR,Analytical,CBR16,VJR,Midnight2,30,8,10min
D,Analytical,CBR16,D,Whole Day,241,None,10min
D,Analytical,CBR16,E,Whole Day,26,None,10min
D,Analytical,CBR16,VJR,Whole Day,32,None,10min
