compression,file.size,frame.size,accuracy,precision,recall,time,chunks,index.type
RAW,100,10min,0.944444444,0.952380952,0.944444444,Dawn1,8,AudioSet
RAW,100,10min,0.962264151,0.95766129,0.960479798,Dawn2,8,AudioSet
RAW,100,10min,0.944444444,0.944817108,0.944444444,Dusk1,8,AudioSet
RAW,100,10min,0.898148148,0.921985816,0.898148148,Dusk2,8,AudioSet
RAW,100,10min,0.924528302,0.927133015,0.930555556,Midday1,8,AudioSet
RAW,100,10min,0.990740741,0.990990991,0.990740741,Midday2,8,AudioSet
RAW,100,10min,1,1,1,Midnight1,8,AudioSet
RAW,100,10min,1,1,1,Midnight2,8,AudioSet
VBR0,22.56,10min,0.934579439,0.945736434,0.933333333,Dawn1,8,AudioSet
VBR0,22.56,10min,0.961538462,0.956272401,0.959090909,Dawn2,8,AudioSet
VBR0,22.56,10min,0.925233645,0.924862662,0.924603175,Dusk1,8,AudioSet
VBR0,22.56,10min,0.897196262,0.920289855,0.898148148,Dusk2,8,AudioSet
VBR0,22.56,10min,0.923809524,0.925381264,0.930555556,Midday1,8,AudioSet
VBR0,22.56,10min,0.990740741,0.990990991,0.990740741,Midday2,8,AudioSet
VBR0,22.56,10min,1,1,1,Midnight1,8,AudioSet
VBR0,22.56,10min,0.990566038,0.990740741,0.990740741,Midnight2,8,AudioSet
CBR128,16.667,2_5min,0.912037037,0.923371648,0.912037037,Dawn1,8,AudioSet
CBR128,16.667,2_5min,0.955188679,0.95113144,0.956928662,Dawn2,8,AudioSet
CBR128,16.667,2_5min,0.884259259,0.886674926,0.884259259,Dusk1,8,AudioSet
CBR128,16.667,2_5min,0.902777778,0.922970022,0.902777778,Dusk2,8,AudioSet
CBR128,16.667,2_5min,0.938636364,0.93531776,0.94246633,Midday1,8,AudioSet
CBR128,16.667,2_5min,0.979166667,0.979606319,0.979166667,Midday2,8,AudioSet
CBR128,16.667,2_5min,0.974537037,0.974908664,0.974537037,Midnight1,8,AudioSet
CBR128,16.667,2_5min,0.993039443,0.99307152,0.993039368,Midnight2,8,AudioSet
