compression,file.size,frame.size,accuracy,precision,recall,TOD,chunks,index.type
CBR16,2.08,2_5min,0.944444444,0.944671428,0.944444444,Midday2,12,AudioSet
CBR16,2.08,2_5min,0.954861111,0.955134793,0.954861111,Midday3,12,AudioSet
CBR16,2.08,2_5min,0.875,0.886027125,0.875,Midnight1,12,AudioSet
CBR16,2.08,2_5min,0.982638889,0.98349835,0.982638889,Midnight2,12,AudioSet
CBR16,2.08,2_5min,0.885416667,0.914728682,0.885416667,Midnight3,12,AudioSet
CBR16,2.08,20min,0.861111111,0.901960784,0.861111111,Dusk1,12,AudioSet
CBR16,2.08,20min,0.944444444,0.952380952,0.944444444,Dusk2,12,AudioSet
CBR16,2.08,20min,0.833333333,0.843803419,0.833333333,Dusk3,12,AudioSet
CBR16,2.08,20min,0.805555556,0.829166667,0.805555556,Early AM1,12,AudioSet
CBR16,2.08,20min,1,1,1,Early AM2,12,AudioSet
CBR16,2.08,20min,1,1,1,Early AM3,12,AudioSet
CBR16,2.08,20min,0.972972973,0.966666667,0.979166667,Midday1,12,AudioSet
CBR16,2.08,20min,1,1,1,Midday2,12,AudioSet
CBR16,2.08,20min,0.944444444,0.944444444,0.944444444,Midday3,12,AudioSet
CBR16,2.08,20min,0.861111111,0.901960784,0.861111111,Midnight1,12,AudioSet
CBR16,2.08,20min,0.944444444,0.952380952,0.944444444,Midnight2,12,AudioSet
CBR16,2.08,20min,0.888888889,0.916666667,0.888888889,Midnight3,12,AudioSet
CBR16,2.08,5min,0.902777778,0.908386187,0.902777778,Dusk1,12,AudioSet
CBR16,2.08,5min,0.979166667,0.979574468,0.979166667,Dusk2,12,AudioSet
CBR16,2.08,5min,0.854166667,0.885984848,0.854166667,Dusk3,12,AudioSet
CBR16,2.08,5min,0.770833333,0.831668332,0.770833333,Early AM1,12,AudioSet
CBR16,2.08,5min,0.979166667,0.979722222,0.979166667,Early AM2,12,AudioSet
CBR16,2.08,5min,0.985074627,0.981704261,0.981704261,Early AM3,12,AudioSet
CBR16,2.08,5min,0.952054795,0.941349513,0.952614379,Midday1,12,AudioSet
CBR16,2.08,5min,0.972222222,0.97234546,0.972222222,Midday2,12,AudioSet
CBR16,2.08,5min,0.958333333,0.95884058,0.958333333,Midday3,12,AudioSet
CBR16,2.08,5min,0.916666667,0.922067901,0.916666667,Midnight1,12,AudioSet
CBR16,2.08,5min,0.951388889,0.957575758,0.951388889,Midnight2,12,AudioSet
CBR16,2.08,5min,0.902777778,0.924731183,0.902777778,Midnight3,12,AudioSet
CBR16,2.08,10min,0.940828402,0.941223766,0.94087448,0840_sample0,None,AudioSet
CBR16,2.08,2_5min,0.926793981,0.926933992,0.926808064,0840_sample0,None,AudioSet
